repo_name,url,pulls_count_open,pulls_count_closed,issues_count_open,issues_count_closed,commits_count,branches_count,releases_count,owner_type,watchers_count,forks_count,stargazers_count,development_time,owner_account_age,avg_dev_account_age,has_test,has_doc,has_example,has_readme,owner_projects_count,owner_following,owner_followers,devs_followers_avg,devs_following_avg,commits_by_dev_with_most_commits,magnetism,stickiness,wealth,last_commit_age,productive_duration
3lvis/DATAStack,https://github.com/3lvis/DATAStack,2,4,5,4,17,7,3,1,213,39,213,2390,3466,3087.4166666666665,False,False,False,True,50,0,734,266.5,20.75,415,0.14285714285714285,0.5,4.0,171,2390
cmsgears/module-core,https://github.com/cmsgears/module-core,0,0,0,0,168,2,0,0,4,0,4,2201,2217,2294.3333333333335,False,True,False,True,71,0,0,1.0,5.333333333333333,349,0.1111111111111111,1.0,0.0,4,2201
Kunstmaan/KunstmaanDashboardBundle,https://github.com/Kunstmaan/KunstmaanDashboardBundle,0,0,0,0,46,22,0,0,4,3,4,2510,3815,3225.521739130435,False,False,False,True,125,0,0,31.130434782608695,12.956521739130435,232,0.03333333333333333,3.0,0.0,24,2723
guusdk/Spark,https://github.com/guusdk/Spark,0,0,0,0,474,94,0,1,0,0,0,5288,2892,2693.4444444444443,True,False,False,True,139,0,55,54.5,150.35185185185185,1187,0.15714285714285714,0.5454545454545454,0.0,76,5288
kalxas/ckanext-geoview,https://github.com/kalxas/ckanext-geoview,0,0,0,0,23,2,0,1,0,0,0,2033,3859,3286.153846153846,False,False,False,True,90,8,83,33.92307692307692,15.692307692307692,73,0.1875,1.0,0.0,123,2471
alexditu/BBB-dev,https://github.com/alexditu/BBB-dev,0,6,0,6,10,2,0,1,0,0,0,4501,2899,3634.972972972973,True,False,True,True,52,2,1,69.48648648648648,11.378378378378379,3169,0.02702702702702703,0.0,6.4,161,4501
tkurze/devstack,https://github.com/tkurze/devstack,0,129,0,129,568,4,0,1,0,0,0,3481,3278,3323.4584717607972,True,True,False,True,35,4,0,60.89700996677741,9.355481727574752,3680,0.037484885126964934,1.2903225806451613,130.0,2,3676
vtex/toolbelt,https://github.com/vtex/toolbelt,2,435,2,491,1361,29,21,0,36,13,36,2192,3377,2360.1857142857143,False,True,False,True,212,0,0,53.98571428571429,356.3142857142857,631,0.5,0.45454545454545453,418.2027528027527,3,2373
cynicaloptimist/improved-initiative,https://github.com/cynicaloptimist/improved-initiative,2,70,22,101,1026,42,0,1,241,81,241,2144,2996,2835.1071428571427,True,False,False,True,19,1,21,15.035714285714286,8.821428571428571,4207,0.44,0.5454545454545454,68.7,9,2351
apache/allura,https://github.com/apache/allura,0,3,0,3,503,1079,0,0,91,23,91,4156,4451,3225.6458333333335,True,True,True,True,2174,0,0,31.3125,12.4375,2272,0.125,0.3333333333333333,0.5625,3,4353
montagejs/collections,https://github.com/montagejs/collections,1,4,19,5,15,10,2,0,1908,193,1908,3118,3172,3583.5,True,False,False,True,66,0,0,133.07142857142858,36.32142857142857,267,0.0,0,4.0,26,3118
wikimedia/mediawiki-skins-BlueSky,https://github.com/wikimedia/mediawiki-skins-BlueSky,0,0,0,0,114,13,0,0,2,4,2,2496,4416,2635.3076923076924,False,False,False,True,2296,0,0,46.80769230769231,30.423076923076923,237,0.17857142857142858,1.2,0.0,4,2694
eea/eea.rancher.catalog,https://github.com/eea/eea.rancher.catalog,0,4,0,4,4279,3,0,0,10,6,10,1816,3428,3018.9545454545455,False,False,False,True,649,0,0,24.40909090909091,62.22727272727273,2035,0.52,1.2307692307692308,4.0,1,1990
